"","Tagname"
"1","UVA/Data/Buildings/0202/ac_Buildings0202Floors2273ZNT"
"2","UVA/Data/Buildings/0202/ac_Buildings0202Floors2274ZNT"
"3","UVA/Data/Buildings/0202/ac_Buildings0202Floors2276HWVO"
"4","UVA/Data/Buildings/0202/ac_Buildings0202Floors2279SAF"
"5","UVA/Data/Buildings/0202/ac_Buildings0202Floors2281SAFSP"
"6","UVA/Data/Buildings/0202/ac_Buildings0202Floors2283SAFSP"
"7","UVA/Data/Buildings/0202/ac_Buildings0202Floors2286SAT"
"8","UVA/Data/Buildings/0202/ac_Buildings0202Floors2C213ZNT"
"9","UVA/Data/Buildings/0202/ac_Buildings0202EquipmentAHU2WRFNVFDO"
"10","UVA/Data/Buildings/0202/ac_Buildings0202Floors22011HWVO"
"11","UVA/Data/Buildings/0202/ac_Buildings0202Floors22012SAT"
"12","UVA/Data/Buildings/0202/ac_Buildings0202Floors22031SAT"
"13","UVA/Data/Buildings/0202/ac_Buildings0202Floors22032HWVO"
"14","UVA/Data/Buildings/0202/ac_Buildings0202Floors22032ZNT"
"15","UVA/Data/Buildings/0202/ac_Buildings0202Floors22033DO"
"16","UVA/Data/Buildings/0202/ac_Buildings0202Floors2218DO"
"17","UVA/Data/Buildings/0202/ac_Buildings0202Floors2218SAF"
"18","UVA/Data/Buildings/0202/ac_Buildings0202Floors2243SAF"
"19","UVA/Data/Buildings/0202/ac_Buildings0202Floors2245SAF"
"20","UVA/Data/Buildings/0202/ac_Buildings0202Floors2255HWVO"
"21","UVA/Data/Buildings/0202/ac_Buildings0202Floors2255SAT"
"22","UVA/Data/Buildings/0202/ac_Buildings0202Floors2257SAF"
"23","UVA/Data/Buildings/0202/ac_Buildings0202Floors2263SAFSP"
"24","UVA/Data/Buildings/0202/ac_Buildings0202Floors2270SAFSP"
"25","UVA/Data/Buildings/0202/ac_Buildings0202Floors2271SAFSP"
"26","UVA/Data/Buildings/0202/ac_Buildings0202EquipmentAHU2ESFNSTS"
"27","UVA/Data/Buildings/0202/ac_Buildings0202EquipmentAHU2WPHT"
"28","UVA/Data/Buildings/0202/ac_Buildings0202Floors22012SAFSP"
"29","UVA/Data/Buildings/0202/ac_Buildings0202Floors22031HWVO"
"30","UVA/Data/Buildings/0202/ac_Buildings0202Floors22031SAF"
"31","UVA/Data/Buildings/0202/ac_Buildings0202Floors2208SAF"
"32","UVA/Data/Buildings/0202/ac_Buildings0202Floors2211SAFSP"
"33","UVA/Data/Buildings/0202/ac_Buildings0202Floors2225SAF"
