"","equipment","time","MAT","RFNC","SFNC","SFNVFDALA","SFNSTS","RFNSTS","RFNVFDO","SATSP","SAF","SAT","SFNVFDO","SAEnthalpy","MAEnthalpy","totalHeat","fanEnergy"
"1","AHU2E",2021-03-01 00:00:00,61.78333282,0,0,0,0,0,0,55,100.6900024,67.2833341,0,93.911498285105,88.279221974321,0.321712855326601,0.633605198308985
"2","AHU2E",2021-03-01 00:30:00,62.03333282,0,0,0,0,0,0,55,100.6900024,67.09999975,0,93.7237547439875,88.535234474321,0.296365728307459,0.633605198308985
"3","AHU2E",2021-03-01 01:00:00,62.36666743,0,0,0,0,0,0,55,100.6900024,66.34999975,0,92.9557172439875,88.8765857816915,0.232997984753547,0.633605198308985
"4","AHU2E",2021-03-01 01:30:00,62.58333206,0,0,0,0,0,0,55,100.6900024,66.48333359,0,93.0922577628395,89.098461196043,0.228123697453832,0.633605198308985
"5","AHU2E",2021-03-01 02:00:00,62.75,0,0,0,0,0,0,55,100.6900024,66.73333359,0,93.3482702628395,89.2691375,0.232998059039953,0.633605198308985
"6","AHU2E",2021-03-01 02:30:00,62.93333435,0,0,0,0,0,0,55,100.6900024,67,0,93.62135,89.4568810411175,0.237872420626074,0.633605198308985
"7","AHU2E",2021-03-01 03:00:00,63.13333257,0,0,0,0,0,0,55,100.6900024,66.59999975,0,93.2117297439875,89.6616892183085,0.20277657043469,0.633605198308985
"8","AHU2E",2021-03-01 03:30:00,63.28333282,0,0,0,0,0,0,55,100.6900024,66.66666794,0,93.280001303957,89.815296974321,0.19790220884857,0.633605198308985
"9","AHU2E",2021-03-01 04:00:00,63.45000076,0,0,0,0,0,0,55,100.6900024,66.60000102,0,93.211731044531,89.985973278278,0.184253698559891,0.633605198308985
"10","AHU2E",2021-03-01 04:30:00,63.58333206,0,0,0,0,0,0,55,100.6900024,66.3333346,0,92.93865129713,90.122511196043,0.160856538800443,0.633605198308985
"11","AHU2E",2021-03-01 05:00:00,63.68333308,0,0,0,0,0,0,55,100.6900024,67.09999975,0,93.7237547439875,90.224917240574,0.199851878962639,0.633605198308985
"12","AHU2E",2021-03-01 05:30:00,64.08333333,0,0,0,0,0,0,55,142.9083328,75.29999924,0,102.120964221722,90.6345374965865,0.931194946997689,0.899269643316152
"13","AHU2E",2021-03-01 06:00:00,62.38333384,0.833333333,0.833333333,0,0.833333333,0.833333333,38.33333397,57.5,5417.014964,66.03333282,65.15000153,92.631434474321,88.893653018852,11.4860856871377,34.0872853182886
"14","AHU2E",2021-03-01 06:30:00,59.96666654,1,1,0,1,1,35.9166673,63.5,5450.07666,61.18333308,65.51666514,87.664792240574,86.418864870287,3.85206360026086,34.2953304265536
"15","AHU2E",2021-03-01 07:00:00,59.01666705,1,1,0,1,1,29.61666679,67.83333333,5012.134928,60.40000089,59.95000013,86.8626209114045,85.4460178925525,4.02781048692549,31.5395239776738
"16","AHU2E",2021-03-01 07:30:00,57.35000038,1,1,0,1,1,27.05000051,68,4749.676595,58.88333321,57.71666654,85.3094773737005,83.739267889139,4.2307732270852,29.8879700977991
"17","AHU2E",2021-03-01 08:00:00,57.61666743,1,1,0,1,1,29.08333365,68,4923.633301,58.68333371,57.70000076,85.1046678857255,84.0123482816915,3.05093910876143,30.9826157485604
"18","AHU2E",2021-03-01 08:30:00,58.46666654,1,1,0,1,1,27.75000032,68,4771.546631,59.66666667,57.70000076,86.1116500034135,84.882789870287,3.32628715703272,30.0255902007539
"19","AHU2E",2021-03-01 09:00:00,58.63333321,1,1,0,1,1,27.79999987,68,4800.033366,59.76666705,57.61666743,86.2140553925525,85.0534648737005,3.16024960838702,30.2048467599816
"20","AHU2E",2021-03-01 09:30:00,58.65000025,1,1,0,1,1,26.01666641,68,4627.601725,59.86666743,57.13333321,86.3164607816915,85.0705327560125,3.27074767022557,29.119797783058
"21","AHU2E",2021-03-01 10:00:00,58.58333333,1,1,0,1,1,26.38333321,68,4783.756673,59.73333359,56.90000153,86.1799202628395,85.0022624965865,3.19584930757727,30.1024235099045
"22","AHU2E",2021-03-01 10:30:00,58.88333321,1,1,0,1,1,24.78333346,68,4529.941732,60.04999987,56.46666781,86.5042023668735,85.3094773737005,3.07014350914006,28.5052593208798
"23","AHU2E",2021-03-01 11:00:00,59.18333308,1,1,0,1,1,24.56666597,68,4603.696696,60.25,56.40000153,86.7090125,85.616692240574,2.85269147058769,28.969372216675
"24","AHU2E",2021-03-01 11:30:00,59.93333371,1,1,0,1,1,25.36666743,68,4603.186686,61.03333282,56.40000153,87.511184474321,86.3847303857255,2.94150909568703,28.9661629110887
"25","AHU2E",2021-03-01 12:00:00,59.50000064,1,1,0,1,1,23.64999962,68,4373.281657,60.75,55.73333295,87.2210375,85.940975655392,3.175678382115,27.5194550153723
"26","AHU2E",2021-03-01 12:30:00,58.34999975,1,1,0,1,1,27.04999987,68,4768.495036,59.46666654,55.59999847,85.906839870287,84.7633172439875,3.09331543488657,30.0063876343714
"27","AHU2E",2021-03-01 13:00:00,59.25,1,1,0,1,1,30.03333346,68,4931.769938,60.30000051,55.59999847,86.7602155222655,85.6849625,3.00823384059046,31.0338166163434
"28","AHU2E",2021-03-01 13:30:00,60,1,1,0,1,1,31.28333314,68,4969.411702,61.21666718,55.59999847,87.698928025679,86.453,3.51233591665843,31.2706824101208
"29","AHU2E",2021-03-01 14:00:00,59.41666667,1,1,0,1,1,26.80000051,68,4627.095133,60.70000076,55.59999847,87.169835778278,85.8556375034135,3.44958962497063,29.1166099856901
"30","AHU2E",2021-03-01 14:30:00,59.33333333,1,1,0,1,1,26.70000076,68,4670.835042,60.40000025,55.59999847,86.8626202560125,85.7702999965865,2.89429390437743,29.3918491659006
"31","AHU2E",2021-03-01 15:00:00,59.46666718,1,1,0,1,1,27.08333365,68,4740.52002,60.64999962,55.59999847,87.118632110861,85.906840525679,3.25875738921326,29.8303511348393
"32","AHU2E",2021-03-01 15:30:00,59.68333371,1,1,0,1,1,30.0666666,68,5000.438395,60.81666756,55.90000153,87.289308414818,86.1287178857255,3.29219245243827,31.4659219920312
"33","AHU2E",2021-03-01 16:00:00,58.43333308,1,1,0,1,1,24.96666686,68,4590.980143,59.70000013,55.75000064,86.1457851331265,84.848654740574,3.37821402905417,28.8893516198598
"34","AHU2E",2021-03-01 16:30:00,57.65000025,1,1,0,1,1,24.10000006,68,4506.03833,58.86666616,55.33333333,85.292409481148,84.0464827560125,3.18482442125729,28.3548439926101
"35","AHU2E",2021-03-01 17:00:00,58.59999975,1,1,0,1,1,31.83333365,68,5128.105062,59.61666743,56.75,86.0604482816915,85.0193297439875,3.02869266074511,32.2692814312399
"36","AHU2E",2021-03-01 17:30:00,57.33333333,1,1,0,1,1,25.58333302,68,4679.485026,58.5833327,56.5,85.002261851435,83.7221999965865,3.3980293795158,29.4462803377851
"37","AHU2E",2021-03-01 18:00:00,56,1,1,0,1,1,25.26666641,68,4687.621745,57.29999987,55.98333359,83.6880648668735,82.3568,3.54009684110613,29.497481721564
"38","AHU2E",2021-03-01 18:30:00,56.91666667,1,1,0,1,1,30.46666686,68,5013.661621,58.06666629,57.18333308,84.4731696142745,83.2955125034135,3.34943835944674,31.5491308959176
"39","AHU2E",2021-03-01 19:00:00,55.56666756,0.166666667,0.166666667,0,0.166666667,0.166666667,4.183333397,57.16666667,895.6966934,59.73333359,9.5,86.1799202628395,81.913045914818,2.16804821564178,5.63629027231416
"40","AHU2E",2021-03-01 19:30:00,56.64999962,0,0,0,0,0,0,55,103.2333349,64.91666667,0,91.4879125034135,83.022432110861,0.495757938153185,0.64960945548068
"41","AHU2E",2021-03-01 20:00:00,57.53333346,0,0,0,0,0,0,55,108.8283335,66.90000025,0,93.5189452560125,83.927010129713,0.592169892850426,0.684816726440994
"42","AHU2E",2021-03-01 20:30:00,58.28333282,0,0,0,0,0,0,55,111.371666,67.58333333,0,94.2187124965865,84.695046974321,0.60169577519795,0.700820983612689
"43","AHU2E",2021-03-01 21:00:00,59.03333346,0,0,0,0,0,0,55,107.3016663,67.8666687,0,94.508862082235,85.463085129713,0.550618060890411,0.675209970547146
"44","AHU2E",2021-03-01 21:30:00,59.71666654,0,0,0,0,0,0,55,110.3550008,67.90000153,0,94.5429965667965,86.162852370287,0.524616108199443,0.694423482964106
"45","AHU2E",2021-03-01 22:00:00,60.34999911,0,0,0,0,0,0,55,103.2333336,67.91666794,0,94.560063803957,86.8114165885955,0.453778538305843,0.649609447300258
"46","AHU2E",2021-03-01 22:30:00,60.88333321,0,0,0,0,0,0,55,102.723334,67.73333486,0,94.372321563383,87.3575773737005,0.408770038577572,0.646400207157311
"47","AHU2E",2021-03-01 23:00:00,61.26666705,0,0,0,0,0,0,55,101.7066689,67.63333257,0,94.2699142183085,87.7501303925525,0.376167038754214,0.640002707137991
"48","AHU2E",2021-03-01 23:30:00,61.61666616,0,0,0,0,0,0,55,102.723334,67.59999847,0,94.2357784332035,88.108546981148,0.357052027743837,0.646400207157311
"49","AHU2E",2021-03-02 00:00:00,62,0,0,0,0,0,0,55,103.7400004,67.51666641,0,94.1504422371605,88.5011,0.332462175167817,0.652797715357053
"50","AHU2E",2021-03-02 00:30:00,62.30000051,0,0,0,0,0,0,55,108.8266665,67.41666794,0,94.048038803957,88.8083155222655,0.323475795610205,0.684806236622339
"51","AHU2E",2021-03-02 01:00:00,62.59999975,0,0,0,0,0,0,55,103.7399991,67.30000305,0,93.9285681233525,89.1155297439875,0.283245928737024,0.652797707176631
"52","AHU2E",2021-03-02 01:30:00,62.85000038,0,0,0,0,0,0,55,102.2150002,67.13333257,0,93.7578892183085,89.371542889139,0.254340584085055,0.64320144928186
"53","AHU2E",2021-03-02 02:00:00,63.0833327,0,0,0,0,0,0,55,100.6900024,67.08333206,0,93.706686196043,89.610486851435,0.233972893804522,0.633605198308985
"54","AHU2E",2021-03-02 02:30:00,63.28333346,0,0,0,0,0,0,55,100.6900024,66.95000076,0,93.570148278278,89.815297629713,0.214475224015889,0.633605198308985
"55","AHU2E",2021-03-02 03:00:00,63.46666718,0,0,0,0,0,0,55,103.7416674,66.80000178,0,93.416541822809,90.003040525679,0.200886803211267,0.652808205175708
"56","AHU2E",2021-03-02 03:30:00,63.46666718,0,0,0,0,0,0,55,101.198335,66.48333359,0,93.0922577628395,90.003040525679,0.177345399993102,0.636803948633277
"57","AHU2E",2021-03-02 04:00:00,65.2166659,0,0,0,0,0,0,55,114.4216665,66.79999924,0,93.416539221722,91.795126714895,0.105244618688757,0.720013516392339
"58","AHU2E",2021-03-02 04:30:00,66.59999975,0,0,0,0,0,0,55,160.2016652,73.73333232,0,100.516618962296,93.2117297439875,0.663863469930843,1.00809023169192
"59","AHU2E",2021-03-02 05:00:00,67.41666667,0,0,0,0,0,0,55,180.5466614,83.51666641,0,110.535242237161,94.0480375034135,1.68863040386213,1.13611381938325
"60","AHU2E",2021-03-02 05:30:00,68.56666692,0,0,0,0,0,0,55,165.2866694,89.38333257,0,116.543001718308,95.225695259426,1.99879506617624,1.04008829523097
"61","AHU2E",2021-03-02 06:00:00,61.28333282,0.666666667,0.666666667,0,0.666666667,0.666666667,34,56.66666667,4984.66847,72.31666629,55.58333333,99.0658821142745,87.767196974321,31.9493698335681,31.3666876468254
"62","AHU2E",2021-03-02 06:30:00,52.94999949,1,1,0,1,1,42.93333371,62.5,6122.501709,55.83333333,71.59999975,82.1861249965865,79.2334469777345,10.2551759852588,38.5266542557759
"63","AHU2E",2021-03-02 07:00:00,52.38333321,1,1,0,1,1,37.30000051,67.5,5768.996582,55.96666718,64.41666667,82.322665525679,78.6531523737005,12.0089999161979,36.3021763457815
"64","AHU2E",2021-03-02 07:30:00,50.23333359,1,1,0,1,1,30.46666718,68,5160.150065,55.46666654,59.94999949,81.810639870287,76.4514452628395,15.6877251220003,32.4709288639211
"65","AHU2E",2021-03-02 08:00:00,49.64999962,1,1,0,1,1,29,68,5086.398356,54.86666679,58.8333327,81.1962101262995,75.854082110861,15.4142632846228,32.0068364506452
"66","AHU2E",2021-03-02 08:30:00,48.5,1,1,0,1,1,25.93333308,68,4746.623291,54.9166673,56.88333321,81.247413148565,74.676425,17.6934922986646,29.8687567773074
"67","AHU2E",2021-03-02 09:00:00,48.18333371,1,1,0,1,1,25.05000019,68,4798.508219,55.39999962,56.09999847,81.742369610861,74.3521428857255,20.1169490921417,30.1952495701479
"68","AHU2E",2021-03-02 09:30:00,48.5333341,1,1,0,1,1,24.33333365,68,4607.763265,54.91666667,55.76666641,81.2474125034135,74.710560785105,17.0866491993541,28.9949616416057
"69","AHU2E",2021-03-02 10:00:00,49.29999987,1,1,0,1,1,24.24999968,68,4618.955078,54.89999962,55.5,81.230344610861,75.4956648668735,15.0262641653149,29.0653876096887
"70","AHU2E",2021-03-02 10:30:00,48.65000025,1,1,0,1,1,21.98333295,68,4304.615072,54.94999949,54.39999962,81.2815469777345,74.8300327560125,15.7541179430244,27.0873614194929
"71","AHU2E",2021-03-02 11:00:00,49.45000076,1,1,0,1,1,22.75,68,4454.156576,54.68333371,54,81.0084678857255,75.649273278278,13.5413860322758,28.0283711725858
"72","AHU2E",2021-03-02 11:30:00,50.43333371,1,1,0,1,1,22.9333334,68,4312.753337,55.61666679,53.86666679,81.9642476262995,76.6562553857255,12.9862276175207,27.1385725316819
"73","AHU2E",2021-03-02 12:00:00,50.2833341,1,1,0,1,1,20.63333321,68,4226.284953,55.33333333,53.38333384,81.6740999965865,76.502648285105,12.3985061253712,26.5944587538896
"74","AHU2E",2021-03-02 12:30:00,52.93333435,1,1,0,1,1,25.48333359,68,4530.45166,55.29999987,53.40000153,81.6399648668735,79.2163810411175,6.22870349819691,28.5084681104702
"75","AHU2E",2021-03-02 13:00:00,53.98333359,1,1,0,1,1,20.10000006,68,4177.455037,55.18333435,53.29999924,81.5204935411175,80.2916327628395,2.91214220635935,26.2871900293574
"76","AHU2E",2021-03-02 13:30:00,55.90000025,1,1,0,1,1,27.45000013,68,4763.916667,56.54999987,54.11666679,82.9200273668735,82.2543952560125,1.79885655121615,29.977577640042
