sep=;
"Series";"Time";"Value"
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-08-31T23:00:00-04:00";433.889
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-01T02:00:00-04:00";431.194
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-01T05:00:00-04:00";433.361
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-01T08:00:00-04:00";441.778
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-01T11:00:00-04:00";438.583
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-01T14:00:00-04:00";434.667
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-01T17:00:00-04:00";430.139
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-01T20:00:00-04:00";435.75
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-01T23:00:00-04:00";443.639
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-02T02:00:00-04:00";445.972
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-02T05:00:00-04:00";454.472
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-02T08:00:00-04:00";469.472
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-02T11:00:00-04:00";449.417
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-02T14:00:00-04:00";433
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-02T17:00:00-04:00";427.722
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-02T20:00:00-04:00";427.944
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-02T23:00:00-04:00";434.917
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-03T02:00:00-04:00";451.361
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-03T05:00:00-04:00";476
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-03T08:00:00-04:00";492.806
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-03T11:00:00-04:00";440.778
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-03T14:00:00-04:00";424.833
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-03T17:00:00-04:00";422.389
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-03T20:00:00-04:00";435.444
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-03T23:00:00-04:00";450.056
"co2_ppm.mean {location_specific: 203 Olsson}";"2020-09-04T02:00:00-04:00";457.222
