sep=;
"Series";"Time";"Value"
"occupied {device_id: 0202EquipmentAHU2E}";"2020-09-01T08:27:17-04:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-09-01T08:27:44-04:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-09-14T09:20:10-04:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-09-16T08:23:45-04:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-09-16T08:40:41-04:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-09-16T08:52:20-04:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-09-16T15:25:42-04:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-10-15T12:01:25-04:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-10-15T12:03:16-04:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-10-15T12:11:13-04:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-10-15T12:11:30-04:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-10-15T12:32:11-04:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-10-15T12:33:35-04:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-10-15T12:38:18-04:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-10-15T12:40:19-04:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-10-15T12:48:30-04:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-10-15T13:21:02-04:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-10-15T13:21:36-04:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-10-15T13:21:50-04:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-10-20T07:25:16-04:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-10-20T08:41:36-04:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-10-20T10:10:36-04:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-10-20T22:40:08-04:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-10-20T22:44:45-04:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-10-20T22:52:02-04:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-10-20T23:06:21-04:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-10-20T23:15:25-04:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-10-20T23:30:01-04:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-10-20T23:32:15-04:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-10-20T23:36:39-04:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-10-21T00:21:19-04:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-10-21T00:29:23-04:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-10-21T00:38:21-04:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-10-21T00:41:53-04:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-10-21T00:42:41-04:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-10-21T00:50:35-04:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-10-21T01:45:55-04:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-10-21T01:47:35-04:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-10-21T01:52:02-04:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-10-21T02:15:26-04:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-10-21T02:19:35-04:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-10-21T02:27:52-04:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-10-21T02:39:52-04:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-10-21T02:43:23-04:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-10-21T02:44:28-04:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-10-21T02:55:21-04:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-10-21T02:55:57-04:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-10-21T02:56:10-04:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-10-21T03:03:49-04:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-10-21T03:07:39-04:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-10-27T15:31:26-04:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-10-27T15:32:03-04:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-10-31T20:56:58-04:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-11-02T09:22:30-05:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-11-02T09:33:18-05:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-11-02T16:02:22-05:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-11-02T16:08:19-05:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-11-02T16:11:59-05:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-11-02T16:12:55-05:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-11-11T08:46:24-05:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-11-11T09:16:49-05:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-11-11T09:17:18-05:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-11-17T07:55:19-05:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-11-17T07:56:26-05:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-11-23T10:31:41-05:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-12-03T08:45:43-05:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2020-12-03T12:30:30-05:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2021-01-04T07:17:14-05:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2021-01-04T12:40:42-05:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2021-01-05T11:06:03-05:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2021-01-05T12:59:53-05:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2021-01-05T14:48:40-05:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2021-01-05T16:13:56-05:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2021-01-06T09:19:47-05:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2021-01-06T12:12:33-05:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2021-01-08T09:07:26-05:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2021-01-09T05:07:33-05:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2021-01-10T08:42:35-05:00";1
"occupied {device_id: 0202EquipmentAHU2E}";"2021-01-10T13:18:15-05:00";1
"occupied {device_id: 0202EquipmentAHU2W}";"2020-09-01T06:06:05-04:00";1
