sep=;
"Series";"Time";"Value"
"Temperature C - 201 Olsson";"2020-08-31T23:00:00-04:00";22.111
"Temperature C - 201 Olsson";"2020-09-01T02:00:00-04:00";22.094
"Temperature C - 201 Olsson";"2020-09-01T05:00:00-04:00";22.225
"Temperature C - 201 Olsson";"2020-09-01T08:00:00-04:00";22.216
"Temperature C - 201 Olsson";"2020-09-01T11:00:00-04:00";22.23
"Temperature C - 201 Olsson";"2020-09-01T14:00:00-04:00";22.312
"Temperature C - 201 Olsson";"2020-09-01T17:00:00-04:00";22.322
"Temperature C - 201 Olsson";"2020-09-01T20:00:00-04:00";22.04
"Temperature C - 201 Olsson";"2020-09-01T23:00:00-04:00";22
"Temperature C - 201 Olsson";"2020-09-02T02:00:00-04:00";22.026
"Temperature C - 201 Olsson";"2020-09-02T05:00:00-04:00";22.252
"Temperature C - 201 Olsson";"2020-09-02T08:00:00-04:00";22.344
"Temperature C - 201 Olsson";"2020-09-02T11:00:00-04:00";22.506
"Temperature C - 201 Olsson";"2020-09-02T14:00:00-04:00";22.677
"Temperature C - 201 Olsson";"2020-09-02T17:00:00-04:00";22.514
"Temperature C - 201 Olsson";"2020-09-02T20:00:00-04:00";22.554
"Temperature C - 201 Olsson";"2020-09-02T23:00:00-04:00";22.716
"Temperature C - 201 Olsson";"2020-09-03T02:00:00-04:00";22.806
"Temperature C - 201 Olsson";"2020-09-03T05:00:00-04:00";22.987
"Temperature C - 201 Olsson";"2020-09-03T08:00:00-04:00";22.573
"Temperature C - 201 Olsson";"2020-09-03T11:00:00-04:00";22.653
"Temperature C - 201 Olsson";"2020-09-03T14:00:00-04:00";22.715
"Temperature C - 201 Olsson";"2020-09-03T17:00:00-04:00";22.835
"Temperature C - 201 Olsson";"2020-09-03T20:00:00-04:00";23.058
"Temperature C - 201 Olsson";"2020-09-03T23:00:00-04:00";23.548
"Temperature C - 201 Olsson";"2020-09-04T02:00:00-04:00";23.611
"Temperature C - 201 Olsson";"2020-09-04T05:00:00-04:00";23.688
"Temperature C - 201 Olsson";"2020-09-04T08:00:00-04:00";23.159
"Temperature C - 201 Olsson";"2020-09-04T11:00:00-04:00";22.961
"Temperature C - 201 Olsson";"2020-09-04T14:00:00-04:00";22.935
"Temperature C - 201 Olsson";"2020-09-04T17:00:00-04:00";23.046
"Temperature C - 201 Olsson";"2020-09-04T20:00:00-04:00";23.116
"Temperature C - 201 Olsson";"2020-09-04T23:00:00-04:00";23.412
"Temperature C - 201 Olsson";"2020-09-05T02:00:00-04:00";23.66
"Temperature C - 201 Olsson";"2020-09-05T05:00:00-04:00";23.667
"Temperature C - 201 Olsson";"2020-09-05T08:00:00-04:00";23.654
"Temperature C - 201 Olsson";"2020-09-05T11:00:00-04:00";23.042
